yearnum,category,year_cat_value
1999,Fish,3506.4
2000,Fish,3940.2
2001,Fish,3946.1
2002,Fish,4151.8
2003,Fish,4311.7
2004,Grains,4556.9
2005,Grains,4826.6
2006,Grains,5746.7
2007,Grains,7137.3
2008,Grains,10014.6
2009,Grains,7937.2
2010,Grains,7789.8
2011,Grains,8915.5
2012,Grains,9914.3
2013,Grains,11418.9
2014,Grains,11137.4
2015,Grains,10289.5
2016,Grains,9812.1
2017,Grains,10799.6
2018,Grains,11908.4
2019,Grains,11495.7
2020,Grains,11865.8
2021,Grains,13582.6
2022,Grains,17493.7
