"","Category","Commodity","category_total"
"1","Animals","Total live animals",32996.4
"2","Animals","Bovine animals, live",22938.2
"3","Animals","Swine, live",9233.2
"4","Animals","Bird eggs",776.6
"5","Animals","Live poultry",775.2
"6","Animals","Sheep and goats, live",50
"7","Beverages","Liquors and liqueurs",8646.5
"8","Beverages","Malt beer",4320
"9","Beverages","Nonalcoholic beverages",4028.3
"10","Cocoa","Total cocoa and products",24036.7
"11","Cocoa","Chocolate",23434.1
"12","Cocoa","Cocoa paste, butter, and powder",596.6
"13","Coffee","Total coffee, tea, and spices",9106.4
"14","Coffee","Coffee, roasted and instant",6554.2
"15","Coffee","Tea and mate",1888.6
"16","Dairy","Total dairy products",2639.5
"17","Dairy","Yogurt, buttermilk, or whey",1446.6
"18","Dairy","Milk and cream",192.1
"19","Fish","Total fish and shellfish",64595.6
"20","Fish","Shellfish, fresh or frozen",33635.9
"21","Fish","Whole fish--fresh, chilled, or frozen",14887.6
"22","Fish","Prepared fish and shellfish",9537.8
"23","Fish","Fish fillets and mince",6534.1
"24","Fruits","Total fruit and preparations",12971.6
"25","Fruits","Dried, prepared or preserved fruit",4413.4
"26","Fruits","Fresh or chilled fruit",3963.9
"27","Fruits","Frozen fruit",3307.4
"28","Fruits","Fruit juices",1286.8
"29","Grains","Total grains and products",97997.9
"30","Grains","Cereal and bakery foods",61998.5
"31","Grains","Bulk grains",23814.2
"32","Grains","Wheat and products",16791.6
"33","Grains","Milled grain products",4333.7
"34","Meats","Total red meats, fresh and frozen",48098.8
"35","Meats","Fresh or chilled red meats",42895.6
"36","Meats","Prepared meats",8229.5
"37","Meats","Frozen red meats and parts",5168.4
"38","Meats","Fowl and other meats",2544.5
"39","Nuts","Total nuts",2004.1
"40","Nuts","Prepared tree nuts",1063.7
"41","Nuts","Ground nuts",896.9
"42","Other","Sauces, soups, prepared foods",31080.3
"43","Other","Animal and other fats",4907.4
"44","Other","Other edible products",2436.4
"45","Other","Essential oils",1340.6
"46","Sweets","Total sweeteners and candy",16784.1
"47","Sweets","Confections",9839
"48","Sweets","Other sweeteners and syrups",5538.4
"49","Vegetables","Total vegetables and preparations",51105.8
"50","Vegetables","Fresh vegetables",25169
"51","Vegetables","Prepared or preserved vegetables",20286
"52","Vegetables","Dried vegetables",3230.3
"53","Vegetables","Frozen vegetables",2649.3
"54","VegetablesOil","Total vegetable oils",31665.9
"55","VegetablesOil","Oilseeds",9793.5
"56","VegetablesOil","Refined vegetable oils",2582.7
